,Month,Unit,value
0,January,KWH,6637.8364
1,February,KWH,5262.371
2,March,KWH,5257.4663
3,April,KWH,5257.4663
4,May,KWH,5944.0312
5,June,KWH,7479.635
6,July,KWH,9086.913
7,August,KWH,7832.5747
8,September,KWH,6808.384
9,October,KWH,6135.0806
10,November,KWH,5745.67
11,December,KWH,6621.15
12,January,THERM,217.42175
13,February,THERM,146.38205
14,March,THERM,134.28519
15,April,THERM,63.95918
16,May,THERM,42.812473
17,June,THERM,6.4514484
18,July,THERM,0.5357554
19,August,THERM,0.48141792
20,September,THERM,0.48141792
21,October,THERM,12.529598
22,November,THERM,74.04012
23,December,THERM,130.83705
