EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
2103,162,1287,551,2879,20,0,865.0,12,969,4.26,736,110,1071,290,126,46399.0,21911.0,35930.0,35013.0,36,255,35,914,271,221,1652,1170,129,191,303,67,14,4.4,141,35,945,296,58,1606,2108,26.4,48,402,0,69,44,709,114,73,110,4167812.0
3547,482,2139,788,4648,67,13,806.0,12,1544,3.73,1154,241,1745,422,98,54418.0,22319.0,47552.0,41821.0,145,388,34,1491,705,497,2244,1266,215,347,239,138,25,4.2,174,34,1368,393,89,2759,3104,28.8,115,388,9,130,144,993,142,13,80,5029180.0
1686,351,936,550,2086,0,0,913.0,23,672,4.74,474,115,737,328,116,73611.0,35971.0,68676.0,55707.0,198,286,42,618,254,472,1317,599,47,267,254,42,42,5.1,175,42,640,317,193,1271,1478,30.3,104,268,0,64,154,418,125,70,62,3184724.0
2889,431,1751,737,3316,26,0,808.0,26,1304,3.98,888,146,1412,581,185,65151.0,32417.0,58281.0,56530.0,97,509,72,1311,660,441,2473,988,167,410,273,99,56,4.7,302,56,875,593,227,2385,2074,32.4,255,364,15,245,92,1236,124,0,27,7863752.0
4237,917,2512,1237,5012,0,0,921.0,17,2129,3.62,1618,593,2257,1221,243,63896.0,41801.0,52895.0,45208.0,104,913,308,1911,769,872,3601,3713,314,760,377,250,76,5.1,563,271,901,1199,303,3356,3291,35.1,1112,341,11,750,262,1475,228,26,40,15017214.0
2638,446,1155,574,3105,22,0,803.0,13,1177,3.57,943,153,1339,519,135,59567.0,33827.0,48317.0,47113.0,121,336,183,1255,409,400,2282,1961,238,473,139,191,21,4.9,137,183,906,532,285,1707,2353,30.8,248,415,35,171,129,758,145,11,0,7469640.0
1934,247,1122,511,2232,14,14,894.0,22,871,4.33,612,199,907,433,140,60315.0,30479.0,60784.0,45817.0,95,343,90,759,436,330,1495,916,28,298,121,189,71,5.3,232,65,560,235,193,1531,1492,33.4,325,161,13,220,60,678,78,6,25,5172560.0
3254,556,2042,866,3906,81,25,940.0,23,1477,4.17,1075,167,1658,424,144,45022.0,27143.0,39599.0,39009.0,76,353,71,1426,468,253,2864,1656,191,631,496,29,42,5.0,201,48,1300,644,266,2804,2693,28.7,183,521,0,133,84,1221,23,81,89,6013859.0
1479,191,837,223,1898,0,0,830.0,13,796,3.81,420,96,866,265,45,49235.0,30086.0,49000.0,42366.0,51,205,60,787,359,248,1104,1086,122,139,266,44,55,4.7,55,60,546,307,151,1001,1261,30.5,86,156,0,122,19,606,57,31,94,3915297.0
3475,436,1900,869,4204,65,0,860.0,0,1855,3.56,1234,185,1941,608,238,51391.0,32787.0,37375.0,38850.0,145,485,123,1760,779,336,3509,1797,259,623,299,177,52,4.8,268,123,1227,568,247,2677,3068,30.4,197,625,0,264,48,1601,74,69,97,7768610.0
