,feature_name,rank,confirmed,tentative
0,Estimate!!SEX AND AGE!!Total population,173,False,False
1,Percent!!SEX AND AGE!!Total population,390,False,False
2,Percent!!SEX AND AGE!!Male,60,False,False
3,Percent!!SEX AND AGE!!Female,390,False,False
4,Percent!!SEX AND AGE!!Under 5 years,37,False,False
5,Percent!!SEX AND AGE!!5 to 9 years,67,False,False
6,Percent!!SEX AND AGE!!10 to 14 years,45,False,False
7,Percent!!SEX AND AGE!!15 to 19 years,1,True,False
8,Percent!!SEX AND AGE!!20 to 24 years,82,False,False
9,Percent!!SEX AND AGE!!25 to 34 years,26,False,False
10,Percent!!SEX AND AGE!!35 to 44 years,39,False,False
11,Percent!!SEX AND AGE!!45 to 54 years,62,False,False
12,Percent!!SEX AND AGE!!55 to 59 years,62,False,False
13,Percent!!SEX AND AGE!!60 to 64 years,92,False,False
14,Percent!!SEX AND AGE!!65 to 74 years,126,False,False
15,Percent!!SEX AND AGE!!75 to 84 years,76,False,False
16,Percent!!SEX AND AGE!!85 years and over,237,False,False
17,Estimate!!SEX AND AGE!!Median age (years),1,True,False
18,Percent!!SEX AND AGE!!18 years and over,110,False,False
19,Percent!!SEX AND AGE!!21 years and over,41,False,False
20,Percent!!SEX AND AGE!!62 years and over,121,False,False
21,Percent!!SEX AND AGE!!65 years and over,115,False,False
22,Estimate!!RACE!!Total population,390,False,False
23,Percent!!RACE!!Total population,390,False,False
24,Percent!!RACE!!One race,5,False,False
25,Percent!!RACE!!Two or more races,390,False,False
26,Percent!!RACE!!One race!!White,124,False,False
27,Percent!!RACE!!One race!!Black or African American,238,False,False
28,Percent!!RACE!!One race!!American Indian and Alaska Native,3,False,False
29,Percent!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,257,False,False
30,Percent!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,247,False,False
31,Percent!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,345,False,False
32,Percent!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,241,False,False
33,Percent!!RACE!!One race!!Asian,1,True,False
34,Percent!!RACE!!One race!!Asian!!Asian Indian,175,False,False
35,Percent!!RACE!!One race!!Asian!!Chinese,124,False,False
